,href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
64,https://nuforc.org//sighting/?id=180249,02/01/2024 06:35,Auburn,AL,USA,Diamond,This came extremeley close to the left of our commercial plane left wing - I did notify Delta Airlines once we landed.,,,
65,https://nuforc.org//sighting/?id=182924,01/28/2024 02:30,Warrumbungle,New South Wales,Australia,Circle,"Circular craft hovering a few hundred metres above us, stationary, then it shot off with no discernible period of acceleration.",,,
66,https://nuforc.org//sighting/?id=180269,01/27/2024 03:00,Garden Valley,ID,USA,Disk,My wife saw a large object with white lights hovering over our property.,,,
67,https://nuforc.org//sighting/?id=180188,01/27/2024 03:00,Osprey,FL,USA,Disk,"Disc shaped objects still in the sky for about 2.5 hours with about 9 circular lights along the length, larger in the middle.",,,
68,https://nuforc.org//sighting/?id=182980,01/26/2024 21:30,Atlanta,GA,USA,Other,"It was a pyramid, it was concave on each side, a tier separating a sphere at the top",,,
69,https://nuforc.org//sighting/?id=180915,01/23/2024 23:40,Corfe Mullen,England,United Kingdom,Circle,Circle of lights,,,
70,https://nuforc.org//sighting/?id=180140,01/21/2024 22:30,Melrose,MA,USA,Diamond,"Ufo was about 200 ft from the ground, causing ground to shake and emitting a deafening humming noise while flashing lights into our car",,,
71,https://nuforc.org//sighting/?id=180084,01/17/2024 21:13,Pine City,MN,USA,Orb,Three large orange lights . When I caught them on video they were already 10 times smaller then they were when I first saw them.,,Y,
72,https://nuforc.org//sighting/?id=180371,01/16/2024 08:00,Lee,NH,USA,Sphere,Saw a ufo that then came into my yard + house,,Y,
73,https://nuforc.org//sighting/?id=180057,01/14/2024 21:10,Ithaca,NY,USA,Light,"Two lights climbing, descending, and changing direction rapidly",,,
74,https://nuforc.org//sighting/?id=180099,01/14/2024 05:00,Phoenix,AZ,USA,Formation,Maneuvering lights at very high altitude views for 45 minutes at FL400,,,
75,https://nuforc.org//sighting/?id=180080,01/13/2024 19:25,Charlotte,NC,USA,Triangle,An object with lights went back and forth,,Y,
76,https://nuforc.org//sighting/?id=180158,01/11/2024 04:30,,Erzincan,Türkiye,Sphere,Multiple lights flying and moving randomly.,,Y,
77,https://nuforc.org//sighting/?id=180054,01/10/2024 20:10,Yakima,WA,USA,Light,"Flying from DEN to PSC at 34,000’. Witnessed moving lights moving very fast and would appear and disappear. ATC had nothing on radar.",,Y,
78,https://nuforc.org//sighting/?id=181919,01/09/2024 21:00,Lindau,Lower Saxony,Germany,Chevron,Close Encounter with landed craft while jogging late through the countryside.,,Y,
