href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
https://nuforc.org//sighting/?id=105032 ,12/01/2013 19:37,Oklahoma City (near),OK,USA,Circle,Bright orange-ish round objects over I-35,,Y,
https://nuforc.org//sighting/?id=116486 ,12/08/2014 22:00,Military training site,NM,USA,Formation,Three lights near our training site.,,Y,
https://nuforc.org//sighting/?id=117121 ,02/01/2015 19:40,Tempe,AZ,USA,Triangle,"I live in Tempe, AZ, a city in the Phoenix metroplex area.  As you are probably aware, the Super Bowl was hosted here in Pho",,Y,
https://nuforc.org//sighting/?id=117619 ,03/05/2015 04:14,Stillwater,MN,USA,Triangle,Black triangle with 3 white lights and center red light.,,Y,
https://nuforc.org//sighting/?id=117716 ,03/09/2015 20:35,Florence,OR,USA,Other,Dark dome shaped object over house.,,Y,
https://nuforc.org//sighting/?id=118681 ,01/15/2015 02:30,"Lordsburg (E of, on I-10; 10 mi. W of AZ)",NM,USA,Triangle,"Large, unmarked, grey triangle shaped craft with bowl shaped hull underside as if to deflect heat upon re-entry under camo-net.",,Y,
https://nuforc.org//sighting/?id=119972 ,09/29/2012 06:50,Lively,VA,USA,Cylinder,"Adult male witnesses very bizarre-looking ""tube-shaped"" object in the vicinity of his home.",,Y,
https://nuforc.org//sighting/?id=123342 ,03/17/1969 20:00,Odessa,WA,USA,Disk,"Brilliant metallic, glowing disc shaped craft with red & blue lights in circle at bottom seen in Odessa, WA, 1969.",,Y,
https://nuforc.org//sighting/?id=124892 ,06/30/1967 22:00,out at sea east coast U.S.,,Internatonal Waters,Light,UFO spotted by U.S Navy ship out at sea in the year of 1967.,,,
https://nuforc.org//sighting/?id=125121 ,01/03/2016 23:00,Woodbury,MN,USA,Triangle,"Triangular aircraft with blue/pink lights arranged into a triangle at the base, blinking every second, quiet & hovering low in the sky.",,Y,
https://nuforc.org//sighting/?id=125205 ,09/13/2010 23:30,Hoffman,NC,USA,Triangle,"Enormous black triangle observed by soldiers training near Camp Mackall, NC.",,Y,
